"x","y"
1530140,-3629205
1610140,-3009205
1540140,-3619205
1580140,-3309205
1620140,-2949205
1510140,-3839205
1570140,-3399205
1520140,-3769205
1510140,-3909205
1520140,-3829205
1570140,-3389205
1590140,-3319205
1520140,-3799205
1620140,-3099205
1610140,-3129205
1610140,-3139205
1630140,-3009205
1510140,-3929205
1610140,-3239205
1540140,-3749205
1610140,-3229205
1620140,-3169205
1600140,-3289205
1610140,-3209205
1530140,-3839205
1650140,-2969205
1610140,-3259205
1530140,-3929205
1540140,-3819205
1570140,-3579205
1640140,-3079205
1670140,-2839205
1540140,-3849205
1620140,-3249205
1650140,-3069205
1560140,-3779205
1600140,-3429205
1680140,-2859205
1560140,-3759205
1560140,-3819205
1560140,-3809205
1640140,-3179205
1640140,-3209205
1570140,-3699205
1620140,-3359205
1650140,-3169205
1580140,-3699205
1630140,-3349205
1620140,-3429205
1610140,-3519205
1620140,-3459205
1700140,-2879205
1580140,-3769205
1660140,-3179205
1580140,-3779205
1700140,-2919205
1580140,-3819205
1660140,-3199205
1660140,-3219205
1580140,-3809205
1630140,-3449205
1650140,-3309205
1640140,-3449205
1660140,-3309205
1720140,-2879205
1660140,-3329205
1700140,-2999205
1650140,-3379205
1680140,-3219205
1660140,-3379205
1650140,-3409205
1670140,-3339205
1630140,-3599205
1680140,-3289205
1680140,-3299205
1630140,-3719205
1690140,-3249205
1750140,-2879205
1700140,-3289205
1700140,-3299205
1750140,-2899205
1680140,-3439205
1700140,-3259205
1710140,-3219205
1710140,-3239205
1650140,-3689205
1720140,-3219205
1700140,-3379205
1720140,-3259205
1720140,-3249205
1720140,-3289205
1660140,-3689205
1710140,-3439205
1790140,-2889205
1790140,-2899205
1680140,-3689205
1730140,-3349205
1740140,-3259205
1730140,-3299205
1750140,-3249205
1740140,-3339205
1750140,-3329205
1760140,-3339205
1720140,-3629205
1720140,-3639205
1770140,-3319205
1780140,-3339205
1750140,-3599205
1780140,-3419205
1760140,-3589205
1840140,-3049205
1850140,-3059205
1780140,-3539205
1780140,-3529205
1800140,-3399205
1850140,-3169205
1880140,-3149205
1890140,-3229205
