"order","family","genus","species","growth_form"
"Fabales","Fabaceae","Acacia","Acacia_aculeiformis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acuminata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_acutata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_adenogonia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_adinophylla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_adnata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_adoxa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_adoxa_var._adoxa",NA
"Fabales","Fabaceae","Acacia","Acacia_adoxa_var._adoxa_x_Acacia_spondylophylla",NA
"Fabales","Fabaceae","Acacia","Acacia_adoxa_var._subglabra",NA
"Fabales","Fabaceae","Acacia","Acacia_adsurgens","shrub"
"Fabales","Fabaceae","Acacia","Acacia_adsurgens_x_Acacia_rhodophloia",NA
"Fabales","Fabaceae","Acacia","Acacia_adunca","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_aemula","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_aemula_subsp._aemula",NA
"Fabales","Fabaceae","Acacia","Acacia_aemula_subsp._muricata",NA
"Fabales","Fabaceae","Acacia","Acacia_aestivalis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_alata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_alata_var._alata",NA
"Fabales","Fabaceae","Acacia","Acacia_alata_var._biglandulosa",NA
"Fabales","Fabaceae","Acacia","Acacia_alata_var._platyptera",NA
"Fabales","Fabaceae","Acacia","Acacia_alata_var._tetrantha",NA
"Fabales","Fabaceae","Acacia","Acacia_alaticaulis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_alcockii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_alexandri","shrub"
"Fabales","Fabaceae","Acacia","Acacia_alleniana","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_alpina","shrub"
"Fabales","Fabaceae","Acacia","Acacia_amanda","shrub"
"Fabales","Fabaceae","Acacia","Acacia_amblygona","shrub"
"Fabales","Fabaceae","Acacia","Acacia_amblyophylla","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_ammobia","tree"
"Fabales","Fabaceae","Acacia","Acacia_ammophila","tree"
"Fabales","Fabaceae","Acacia","Acacia_amoena","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_ampliata","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_ampliceps","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_ampliceps_x_Acacia_bivenosa",NA
"Fabales","Fabaceae","Acacia","Acacia_ampliceps_x_Acacia_sclerosperma_subsp._sclerosperma",NA
"Fabales","Fabaceae","Acacia","Acacia_amputata","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_amyctica","shrub"
"Fabales","Fabaceae","Acacia","Acacia_anarthros","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_anasilla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_anastema","tree"
"Fabales","Fabaceae","Acacia","Acacia_anastomosa",NA
"Fabales","Fabaceae","Acacia","Acacia_anaticeps","tree"
"Fabales","Fabaceae","Acacia","Acacia_anceps","shrub"
"Fabales","Fabaceae","Acacia","Acacia_ancistrocarpa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_ancistrophylla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_ancistrophylla_var._ancistrophylla",NA
"Fabales","Fabaceae","Acacia","Acacia_ancistrophylla_var._lissophylla",NA
"Fabales","Fabaceae","Acacia","Acacia_ancistrophylla_var._perarcuata",NA
"Fabales","Fabaceae","Acacia","Acacia_andrewsii","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aneura","tree"
"Fabales","Fabaceae","Acacia","Acacia_aneura_var._aneura",NA
"Fabales","Fabaceae","Acacia","Acacia_aneura_var._major",NA
"Fabales","Fabaceae","Acacia","Acacia_anfractuosa","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_angusta","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_anomala","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_anserina",NA
"Fabales","Fabaceae","Acacia","Acacia_anthochaera","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_aphanoclada","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aphanoclada_x_Acacia_pyrifolia_var._pyrifolia",NA
"Fabales","Fabaceae","Acacia","Acacia_aphylla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_applanata","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_aprepta","tree"
"Fabales","Fabaceae","Acacia","Acacia_aprica","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aptaneura",NA
"Fabales","Fabaceae","Acacia","Acacia_arafurica","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_araneosa","tree"
"Fabales","Fabaceae","Acacia","Acacia_arbiana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_arcuatilis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_areolata",NA
"Fabales","Fabaceae","Acacia","Acacia_argentina",NA
"Fabales","Fabaceae","Acacia","Acacia_argutifolia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_argyraea","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_argyrodendron","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_argyrotricha","shrub"
"Fabales","Fabaceae","Acacia","Acacia_arida","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aristulata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_armillata","tree"
"Fabales","Fabaceae","Acacia","Acacia_armitii","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_arrecta","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_ascendens","shrub"
"Fabales","Fabaceae","Acacia","Acacia_asepala","shrub"
"Fabales","Fabaceae","Acacia","Acacia_ashbyae","shrub"
"Fabales","Fabaceae","Acacia","Acacia_asparagoides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aspera","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_aspera_subsp._aspera",NA
"Fabales","Fabaceae","Acacia","Acacia_aspera_subsp._parviceps",NA
"Fabales","Fabaceae","Acacia","Acacia_asperulacea","shrub"
"Fabales","Fabaceae","Acacia","Acacia_assimilis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_assimilis_subsp._assimilis",NA
"Fabales","Fabaceae","Acacia","Acacia_assimilis_subsp._atroviridis",NA
"Fabales","Fabaceae","Acacia","Acacia_ataxiphylla_subsp._ataxiphylla",NA
"Fabales","Fabaceae","Acacia","Acacia_ataxiphylla_subsp._magna",NA
"Fabales","Fabaceae","Acacia","Acacia_atkinsiana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_atopa","tree"
"Fabales","Fabaceae","Acacia","Acacia_atrox","shrub"
"Fabales","Fabaceae","Acacia","Acacia_atrox_subsp._atrox",NA
"Fabales","Fabaceae","Acacia","Acacia_atrox_subsp._planitiicola",NA
"Fabales","Fabaceae","Acacia","Acacia_attenuata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aulacocarpa","tree"
"Fabales","Fabaceae","Acacia","Acacia_aulacophylla","shrub"
"Fabales","Fabaceae","Acacia","Acacia_auratiflora","shrub"
"Fabales","Fabaceae","Acacia","Acacia_aureocrinita","shrub"
